id,obj_1,obj_2,obj_3,odd,reason_for_similarity,obj_4
2536,Plymouth Colony,Sydney,Jamestown,Sydney,The others are 17th century colonial settlements in America.,New Amsterdam
2537,Thomas Jefferson,Benjamin Franklin,John Adams,George Washington,The others signed the Declaration of Independence,George Washington
2538,Rembrandt,Mozart,Haydn,Rembrandt,The others are composers,Beethoven
2539,Voltaire,Diderot,Rousseau,Kant,The others are French Enlightenment philosophers,Kant
2540,Emily Dickinson,Edgar Allan Poe,William Wordsworth,William Wordsworth,The others are 19th century American poets.,Walt Whitman
2541,The Spanish-American War,The War of 1812,The Napoleonic Wars,The Napoleonic Wars,The others are 19th century wars involving the United States.,The American Civil War
2542,The Grand Canal,The Panama Canal,The Erie Canal,The Grand Canal,The others are 19th plus century canals.,The Suez Canal
2543,The Brooklyn Bridge,The Eiffel Tower,The Great Wall of China,The Great Wall of China,The others are 19th century structures.,The Statue of Liberty
2544,The Internet,The Steam Engine,The Telegraph,The Internet,The others are 19th century communication inventions.,The Telephone
2545,The War of 1812,World War I,The American Civil War,World War I,The others are 19th century wars.,The Spanish-American War
2546,Edgar Allan Poe,John Milton,Walt Whitman,John Milton,The others are 19th century American authors,Emily Dickinson
2547,JFK,Robert Kennedy,Martin Luther King Jr.,Richard Nixon,The others were assassinated in the 1960s.,Richard Nixon
2548,Mini Skirt,Tie-dye shirts,Zoot Suit,Zoot Suit,The others are 1960s fashion trends.,Bell-bottoms
2549,Sixteen Candles,The Breakfast Club,Ferris Bueller's Day Off,The Goonies,The others are John Hughes films,The Goonies
2550,O.J. Simpson,Tonya Harding,Monica Lewinsky,Princess Diana,The others were involved in major American scandals,Princess Diana
2551,Alanis Morissette,Celine Dion,Mariah Carey,Mariah Carey,The others are Canadian singers,Shania Twain
2552,Google Chrome,Netscape Navigator,Mosaic,Google Chrome,The others are 90s web browsers,Internet Explorer
2553,Fatboy Slim,Daft Punk,The Chemical Brothers,Daft Punk,The others are British electronic music acts,The Prodigy
2554,Freyja,Zeus,Thor,Zeus,The others are Norse gods,Odin
2555,Asgard,Midgard,Valhalla,Olympus,The others are realms in Norse mythology,Olympus
2556,Berserker,Shield-Maiden,Gladiator,Gladiator,The others are Viking warrior classes,Skald
2557,Jorvik,Hedeby,Rome,Rome,The others are Viking settlements,Birka
2558,Neil Armstrong,Michael Collins,Buzz Aldrin,Yuri Gagarin,The others are Apollo 11 astronauts,Yuri Gagarin
2559,Europa,Io,Moon,Moon,The others are Jupiter's moons,Titan
2560,Departures,Baggage Claim,Arrivals,Runway,The others are sections inside the terminal building,Runway
2561,Flight Attendant,Air Traffic Control,Co-Pilot,Flight Attendant,The others are in control of the aircraft,Pilot
2562,Visa,Luggage,Boarding Pass,Luggage,The others are documents needed to travel,Passport
2563,Security Check,Duty-Free Shop,Gate,Duty-Free Shop,The others are steps in the departure process,Check-in Desk
2564,The Silk Road,The Route 66,The Incense Route,The Route 66,The others are Medieval trade routes,The Amber Road
2565,Stethoscope,Handcuffs,Pepper spray,Stethoscope,The others are used by law enforcement,Baton
2566,Ted Bundy,Hannibal Lecter,Zodiac Killer,Hannibal Lecter,The others are real-life serial killers,Jack the Ripper
2567,Pablo Escobar,Robin Hood,John Gotti,Robin Hood,The others are notorious real-life criminals,Al Capone
2568,David Koresh,Ted Kaczynski,Jim Jones,Ted Kaczynski,The others are cult leaders,Charles Manson
2569,Al Capone,Lucky Luciano,John Dillinger,Pablo Escobar,The others are Prohibition-era gangsters,Pablo Escobar
2570,Iron (element),Copper,Neon,Neon,The others are metals,Gold
2571,Silicon,Germanium,Helium,Helium,The others are in the same group in the periodic table,Carbon
2572,Argon,Bromine,Fluorine,Argon,The others are halogens,Chlorine
2573,Neon,Krypton,Nitrogen,Nitrogen,The others are noble gases,Argon
2574,Phosphorus,Aluminum,Copper,Copper,The others are in the same period in the periodic table,Silicon
2575,Beryllium,Magnesium,Calcium,Iron (element),The others are alkaline earth metals,Iron (element)
2576,Nitrogen,Carbon,Neon,Neon,The others are life-essential elements,Oxygen
2577,Nitrogen,Neon,Helium,Nitrogen,The others are inert gases,Argon
2578,Magnesium,Calcium,Argon,Argon,The others are group 2 elements,Beryllium
2579,Fluorine,Argon,Chlorine,Argon,The others are reactive nonmetals,Bromine
2580,Lithium,Sodium,Chlorine,Chlorine,The others are soft metals,Potassium
2581,Calcium,Beryllium,Magnesium,Iron (element),The others are reactive with water,Iron (element)
2582,Neon,Oxygen,Nitrogen,Neon,The others are essential for life,Carbon
2583,Europa,Io,Venus,Venus,The others are moons.,Titan
2584,Venus,Sirius,Sun,Venus,The others are stars.,Alpha Centauri
2585,Mike Wazowski,Buzz Lightyear,Jessie,Mike Wazowski,The others are from Toy Story,Woody
2586,Snow White,Mad Hatter,Alice,Snow White,The others are from Alice in Wonderland,Queen of Hearts
2587,Bambi,Dumbo,Mrs. Jumbo,Bambi,The others are from Dumbo,Timothy Q. Mouse
2588,Simba,Tramp,Jock,Simba,The others are from Lady and the Tramp,Lady
2589,Baloo,Shere Khan,Mowgli,Pongo,The others are from The Jungle Book,Pongo
2590,Geppetto,Dopey,Jiminy Cricket,Dopey,The others are from Pinocchio,Pinocchio
2591,Cinderella,Evil Queen,Snow White,Cinderella,The others are from Snow White and the Seven Dwarfs,Grumpy
2592,Dumbo,Bambi,Thumper,Dumbo,The others are from Bambi,Flower
2593,Mickey Mouse,Tigger,Winnie the Pooh,Mickey Mouse,The others are from Winnie the Pooh,Piglet
2594,The Little Mermaid,Beauty and the Beast,The Rescuers,The Rescuers,The others are part of the Disney Renaissance,Aladdin
2595,Elmer Fudd,Bugs Bunny,Mickey Mouse,Mickey Mouse,The others are Looney Tunes characters,Daffy Duck
2596,Jerry,Scooby Doo,Spike,Scooby Doo,The others are Tom and Jerry characters,Tom
2597,Fiona,Donkey,Woody,Woody,The others are Shrek characters,Shrek
2598,Charmander,Pikachu,Bulbasaur,Totoro,The others are Pokemon characters,Totoro
2599,Velma,Scooby Doo,Tom,Tom,The others are Scooby Doo characters,Shaggy
2600,Stewie Griffin,Bob Belcher,Peter Griffin,Bob Belcher,The others are Family Guy characters,Lois Griffin
2601,Squidward Tentacles,Patrick Star,Dora,Dora,The others are Spongebob Squarepants characters,Spongebob Squarepants
2602,Batman,Lois Lane,Superman,Batman,The others are Superman characters,Lex Luthor
2603,Batwoman,Ares,Steve Trevor,Batwoman,The others are Wonder Woman characters,Wonder Woman
2604,War Machine,Batman,Pepper Potts,Batman,The others are Iron Man characters,Iron Man
2605,Hulk,Odin,Thor,Hulk,The others are Thor characters,Loki
2606,Spiderman,Green Goblin,Mary Jane,Batman,The others are Spiderman characters,Batman
2607,Spiderman,Cyclops,Jean Grey,Spiderman,The others are X-Men characters,Wolverine
2608,Cable,Deadpool,Vanessa,Wolverine,The others are Deadpool characters,Wolverine
2609,Hawkeye,Nick Fury,Black Widow,Thor,The others are S.H.I.E.L.D. agents,Thor
2610,Yellowjacket,Ant-Man,Spiderman,Spiderman,The others are Ant-Man characters,Wasp
2611,Dormammu,Iron Man,Wong,Iron Man,The others are Doctor Strange characters,Doctor Strange
2612,Shuri,Black Panther,Killmonger,Spiderman,The others are Black Panther characters,Spiderman
2613,Star-Lord,Gamora,Drax,Iron Man,The others are Guardians of the Galaxy characters,Iron Man
2614,Blue,Green,Red,Black,The others are primary colors,Black
2615,Paris,New York,Rome,New York,The others are European cities,London
2616,Basketball,Football,Hockey,Hockey,The others are played with a ball,Baseball
2617,Potato,Wheat,Barley,Potato,The others are grains,Rice
2618,Scissors,Marker,Pen,Scissors,The others are writing instruments,Pencil
2619,Silver (metal),Gold,Bronze,Iron (element),The others are Olympic medal materials,Iron (element)
2620,Lion,Dog,Wolf,Lion,The others are canines,Fox
2621,Knife,Plate,Spoon,Plate,The others are cutlery,Fork
2622,Newton,Socrates,Aristotle,Newton,The others are ancient Greek philosophers.,Plato
2623,Beethoven,Bach,Mozart,Van Gogh,The others are classical composers.,Van Gogh
2624,Purple,Red,Green,Purple,The others are primary colors.,Blue
2625,Mercedes,Tesla Motors,Audi,Tesla Motors,The others are German car manufacturers.,BMW
2626,Galaxy,Comet,Star,Comet,The others are vast collections of stars.,Nebula
2628,Circle,Triangle,Cylinder,Cylinder,The others are 2D shapes.,Square
2629,Sphere,Triangle,Rectangle,Sphere,The others are flat shapes,Square
2630,Magic Johnson,Kareem Abdul-Jabbar,Shaquille O'Neal,Hakeem Olajuwon,The others have won NBA championships with the Los Angeles Lakers,Hakeem Olajuwon
2631,Manu Ginobili,Kawhi Leonard,Tony Parker,Kawhi Leonard,The others have retired their jersey numbers with the San Antonio Spurs,Tim Duncan
2632,Dwyane Wade,LeBron James,Kyrie Irving,Kyrie Irving,The others have won an NBA championship with the Miami Heat,Chris Bosh
2633,Larry Bird,Michael Jordan,Charles Barkley,Charles Barkley,The others have been NBA Finals MVP,Magic Johnson
2634,Steve Kerr,Michael Jordan,Scottie Pippen,Steve Kerr,The others have been inducted into the Basketball Hall of Fame as players,Dennis Rodman
2635,Tristan Thompson,Kevin Love,Kyrie Irving,Tristan Thompson,The others have been NBA All-Star Game MVP,LeBron James
2636,J.J. Redick,Chris Paul,DeAndre Jordan,J.J. Redick,The others have been NBA All-Stars,Blake Griffin
2637,Klay Thompson,Draymond Green,Stephen Curry,Klay Thompson,The others have won NBA MVP awards,Kevin Durant
2639,LeBron James,Ray Allen,Chris Bosh,Ray Allen,"The others were part of the original Miami Heat ""Big Three""",Dwyane Wade
2640,Robert Parish,Larry Bird,Kevin McHale,Bill Walton,The others have had their jersey numbers retired by the Boston Celtics,Bill Walton
2641,Steve Kerr,Michael Jordan,Scottie Pippen,Steve Kerr,The others have been NBA All-Defensive First Team,Horace Grant
2642,Tim Duncan,Avery Johnson,Sean Elliott,Avery Johnson,The others have had their jersey numbers retired by the San Antonio Spurs,David Robinson
2643,Gene Kelly,Fred Astaire,Bill Robinson,James Brown,The others are tap dancers,James Brown
2644,Ruth St. Denis,Ariana Grande,Loie Fuller,Ariana Grande,The others are pioneers of modern dance,Isadora Duncan
2645,Sergio Ramos,Diego Costa,David Villa,Sergio Ramos,The others are forwards.,Fernando Torres
2646,Mesut Ozil,Thomas Muller,Marco Reus,Robert Lewandowski,The others are German players.,Robert Lewandowski
2647,Paul Pogba,N'Golo Kante,Kylian Mbappe,N'Golo Kante,The others have scored in a World Cup final.,Antoine Griezmann
2648,Ivan Rakitic,Cristiano Ronaldo,Mario Mandzukic,Cristiano Ronaldo,The others are Croatian players.,Luka Modric
2649,Carles Puyol,Iker Casillas,Xabi Alonso,Xavi Hernandez,The others have played for Real Madrid.,Xavi Hernandez
2650,Jadon Sancho,Erling Haaland,Marco Reus,Robert Lewandowski,The others play for Borussia Dortmund.,Robert Lewandowski
2651,Arnold Palmer,Gary Player,Ben Hogan,Ben Hogan,"The others are part of the ""Big Three"" in golf",Jack Nicklaus
2652,Nikita Kucherov,Alex Ovechkin,Evgeni Malkin,Sidney Crosby,The others are Russian,Sidney Crosby
2653,Patrick Roy,Peter Forsberg,Daniel Alfredsson,Daniel Alfredsson,The others won a Stanley Cup with the Colorado Avalanche,Joe Sakic
2654,Wayne Gretzky,Scott Niedermayer,Chris Pronger,Wayne Gretzky,The others are defencemen,Bobby Orr
2655,Jean Beliveau,Guy Lafleur,Bobby Hull,Bobby Hull,The others played for the Montreal Canadiens,Maurice Richard
2656,Mats Sundin,Esa Tikkanen,Teemu Selanne,Mats Sundin,The others are Finnish,Jari Kurri
2657,Markus Naslund,Mats Sundin,Henrik Sedin,Mats Sundin,The others played for the Vancouver Canucks,Daniel Sedin
2658,Bobby Clarke,Mike Bossy,Bill Barber,Mike Bossy,The others played for the Philadelphia Flyers,Bernie Parent
2659,Marcel Dionne,Mario Lemieux,Wayne Gretzky,Mario Lemieux,The others played for the Los Angeles Kings,Luc Robitaille
2660,Roger Waters,Brian May,John Deacon,Roger Waters,The others are members of Queen,Freddie Mercury
2661,B.B. King,Eric Clapton,Elton John,Elton John,The others are renowned blues guitarists,Jimi Hendrix
2662,Dave Grohl,Krist Novoselic,Eddie Vedder,Eddie Vedder,The others are members of Nirvana,Kurt Cobain
2663,Michelle Williams,Rihanna,Kelly Rowland,Rihanna,The others are members of Destiny's Child,Beyonce
2664,Charlie Watts,Paul McCartney,Keith Richards,Paul McCartney,The others are members of The Rolling Stones,Mick Jagger
2665,Jerry Lee Lewis,Johnny Cash,Elvis Presley,Elvis Presley,The others are members of the Million Dollar Quartet,Carl Perkins
2666,Robert Plant,Jimmy Page,John Paul Jones,Roger Daltrey,The others are members of Led Zeppelin,Roger Daltrey
2667,Izzy Stradlin,Axl Rose,Lars Ulrich,Lars Ulrich,The others are members of Guns N' Roses,Slash
2668,David Bryan,Jon Bon Jovi,Steven Tyler,Steven Tyler,The others are members of Bon Jovi,Richie Sambora
2669,Brad Whitford,Joe Elliott,Joe Perry,Joe Elliott,The others are members of Aerosmith,Steven Tyler
2670,Mike McCready,Chris Cornell,Stone Gossard,Chris Cornell,The others are members of Pearl Jam,Eddie Vedder
2671,Max Weinberg,Clarence Clemons,Bruce Springsteen,Billy Joel,The others are members of E Street Band,Billy Joel
2672,Lars Ulrich,Dave Mustaine,James Hetfield,Dave Mustaine,The others are current members of Metallica,Kirk Hammett
2673,Roger Waters,Nick Mason,David Gilmour,Pete Townshend,The others are members of Pink Floyd,Pete Townshend
2674,Sting,Andy Summers,Stewart Copeland,Paul Weller,The others are members of The Police,Paul Weller
2675,Jonny Greenwood,Matt Bellamy,Thom Yorke,Matt Bellamy,The others are members of Radiohead,Colin Greenwood
2676,Mike Rutherford,Phil Collins,Tony Banks,Peter Gabriel,The others are current members of Genesis,Peter Gabriel
2677,Andy Rourke,Morrissey,Robert Smith,Robert Smith,The others are members of The Smiths,Johnny Marr
2678,Liam Gallagher,Noel Gallagher,Paul Arthurs,Ian Brown,The others are members of Oasis,Ian Brown
2679,The Fighting Temeraire,"Rain, Steam and Speed",The Hay Wain,The Persistence of Memory,The others are paintings by J.M.W. Turner,The Persistence of Memory
2680,The Tree of Life,The Kiss,The Old Guitarist,The Old Guitarist,The others are paintings by Gustav Klimt,Portrait of Adele Bloch-Bauer I
2681,The Weeping Woman,The Dance of Life,The Madonna,The Weeping Woman,The others are paintings by Edvard Munch,The Scream
2682,Mont Sainte-Victoire,Woman in Hat and Fur Collar,The Bathers,Woman in Hat and Fur Collar,The others are paintings by Paul Cézanne,The Card Players
2683,Primavera,The Annunciation,Three Musicians,Three Musicians,The others are paintings by Sandro Botticelli,The Birth of Venus
2684,The Goldfinch,The Girl with a Pearl Earring,The Milkmaid,The Dance of Youth,The others are paintings by Dutch Golden Age painters,The Dance of Youth
2685,"Impression, Sunrise",Woman with a Parasol,The Water-Lily Pond,Les Demoiselles d'Avignon,The others are paintings by Claude Monet,Les Demoiselles d'Avignon
2686,The Swing,The Persistence of Memory,The Progress of Love,The Persistence of Memory,The others are paintings by Jean-Honoré Fragonard,The Meeting
2687,The Elephants,The Disintegration of the Persistence of Memory,The Starry Night,The Starry Night,The others are paintings by Salvador Dali,The Persistence of Memory
2688,The Joy of Life,La Vie,Red Room,La Vie,The others are paintings by Henri Matisse,The Dance
2689,The Dream of the Fisherman's Wife,The Great Wave off Kanagawa,Portrait of Gertrude Stein,Portrait of Gertrude Stein,The others are artworks by Katsushika Hokusai,Thirty-Six Views of Mount Fuji
2690,Descartes,Socrates,Plato,Descartes,The others are ancient Greek philosophers,Aristotle
2691,Nietzsche,Kant,Schopenhauer,Nietzsche,The others are Idealist philosophers,Hegel
2692,Locke,Lenin,Engels,Locke,The others are Marxist philosophers,Marx
2693,Augustine,Anselm,Spinoza,Spinoza,The others are Christian philosophers,Aquinas
2694,Descartes,Hume,Locke,Sartre,The others are early modern philosophers,Sartre
2695,Wittgenstein,Kierkegaard,Sartre,Wittgenstein,The others are existentialist philosophers,Nietzsche
2696,Frege,Russell,Wittgenstein,Kant,The others are philosophers of language,Kant
2697,Descartes,Spinoza,Leibniz,Hegel,The others are Rationalist philosophers,Hegel
2698,Heidegger,Merleau-Ponty,Foucault,Foucault,The others are phenomenologists,Husserl
2699,Foucault,Habermas,Derrida,Habermas,The others are Post-Structuralist philosophers,Deleuze
2700,Marx,Nozick,Rawls,Marx,The others are political philosophers of justice,Dworkin
