obj_1,obj_2,obj_3,odd,reason_for_similarity,obj_4
Freyja,Zeus,Thor,Zeus,The others are Norse gods,Odin
Asgard,Midgard,Valhalla,Olympus,The others are realms in Norse mythology,Olympus
Berserker,Shield-Maiden,Gladiator,Gladiator,The others are Viking warrior classes,Skald
Jorvik,Hedeby,Rome,Rome,The others are Viking settlements,Birka
Neil Armstrong,Michael Collins,Buzz Aldrin,Yuri Gagarin,The others are Apollo 11 astronauts,Yuri Gagarin
Europa,Io,Moon,Moon,The others are Jupiter's moons,Titan
Departures,Baggage Claim,Arrivals,Runway,The others are sections inside the terminal building,Runway
Flight Attendant,Air Traffic Control,Co-Pilot,Flight Attendant,The others are in control of the aircraft,Pilot
Visa,Luggage,Boarding Pass,Luggage,The others are documents needed to travel,Passport
Security Check,Duty-Free Shop,Gate,Duty-Free Shop,The others are steps in the departure process,Check-in Desk
The Silk Road,The Route 66,The Incense Route,The Route 66,The others are Medieval trade routes,The Amber Road
Stethoscope,Handcuffs,Pepper spray,Stethoscope,The others are used by law enforcement,Baton
Ted Bundy,Hannibal Lecter,Zodiac Killer,Hannibal Lecter,The others are real-life serial killers,Jack the Ripper
Pablo Escobar,Robin Hood,John Gotti,Robin Hood,The others are notorious real-life criminals,Al Capone
David Koresh,Ted Kaczynski,Jim Jones,Ted Kaczynski,The others are cult leaders,Charles Manson
Al Capone,Lucky Luciano,John Dillinger,Pablo Escobar,The others are Prohibition-era gangsters,Pablo Escobar
Iron (element),Copper,Neon,Neon,The others are metals,Gold
Silicon,Germanium,Helium,Helium,The others are in the same group in the periodic table,Carbon
Argon,Bromine,Fluorine,Argon,The others are halogens,Chlorine
Neon,Krypton,Nitrogen,Nitrogen,The others are noble gases,Argon
Phosphorus,Aluminum,Copper,Copper,The others are in the same period in the periodic table,Silicon
Beryllium,Magnesium,Calcium,Iron (element),The others are alkaline earth metals,Iron (element)
Nitrogen,Carbon,Neon,Neon,The others are life-essential elements,Oxygen
Nitrogen,Neon,Helium,Nitrogen,The others are inert gases,Argon
Magnesium,Calcium,Argon,Argon,The others are group 2 elements,Beryllium
Fluorine,Argon,Chlorine,Argon,The others are reactive nonmetals,Bromine
Lithium,Sodium,Chlorine,Chlorine,The others are soft metals,Potassium
Calcium,Beryllium,Magnesium,Iron (element),The others are reactive with water,Iron (element)
Neon,Oxygen,Nitrogen,Neon,The others are essential for life,Carbon
Europa,Io,Venus,Venus,The others are moons.,Titan
Venus,Sirius,Sun,Venus,The others are stars.,Alpha Centauri
Mike Wazowski,Buzz Lightyear,Jessie,Mike Wazowski,The others are from Toy Story,Woody
Snow White,Mad Hatter,Alice,Snow White,The others are from Alice in Wonderland,Queen of Hearts
Bambi,Dumbo,Mrs. Jumbo,Bambi,The others are from Dumbo,Timothy Q. Mouse
Simba,Tramp,Jock,Simba,The others are from Lady and the Tramp,Lady
Baloo,Shere Khan,Mowgli,Pongo,The others are from The Jungle Book,Pongo
Geppetto,Dopey,Jiminy Cricket,Dopey,The others are from Pinocchio,Pinocchio
Cinderella,Evil Queen,Snow White,Cinderella,The others are from Snow White and the Seven Dwarfs,Grumpy
Dumbo,Bambi,Thumper,Dumbo,The others are from Bambi,Flower
Mickey Mouse,Tigger,Winnie the Pooh,Mickey Mouse,The others are from Winnie the Pooh,Piglet
The Little Mermaid,Beauty and the Beast,The Rescuers,The Rescuers,The others are part of the Disney Renaissance,Aladdin
Elmer Fudd,Bugs Bunny,Mickey Mouse,Mickey Mouse,The others are Looney Tunes characters,Daffy Duck
Jerry,Scooby Doo,Spike,Scooby Doo,The others are Tom and Jerry characters,Tom
Fiona,Donkey,Woody,Woody,The others are Shrek characters,Shrek
Charmander,Pikachu,Bulbasaur,Totoro,The others are Pokemon characters,Totoro
Velma,Scooby Doo,Tom,Tom,The others are Scooby Doo characters,Shaggy
Stewie Griffin,Bob Belcher,Peter Griffin,Bob Belcher,The others are Family Guy characters,Lois Griffin
Squidward Tentacles,Patrick Star,Dora,Dora,The others are Spongebob Squarepants characters,Spongebob Squarepants
Batman,Lois Lane,Superman,Batman,The others are Superman characters,Lex Luthor
Batwoman,Ares,Steve Trevor,Batwoman,The others are Wonder Woman characters,Wonder Woman
War Machine,Batman,Pepper Potts,Batman,The others are Iron Man characters,Iron Man
Hulk,Odin,Thor,Hulk,The others are Thor characters,Loki
Spiderman,Green Goblin,Mary Jane,Batman,The others are Spiderman characters,Batman
Spiderman,Cyclops,Jean Grey,Spiderman,The others are X-Men characters,Wolverine
Cable,Deadpool,Vanessa,Wolverine,The others are Deadpool characters,Wolverine
Hawkeye,Nick Fury,Black Widow,Thor,The others are S.H.I.E.L.D. agents,Thor
Yellowjacket,Ant-Man,Spiderman,Spiderman,The others are Ant-Man characters,Wasp
Dormammu,Iron Man,Wong,Iron Man,The others are Doctor Strange characters,Doctor Strange
Shuri,Black Panther,Killmonger,Spiderman,The others are Black Panther characters,Spiderman
Star-Lord,Gamora,Drax,Iron Man,The others are Guardians of the Galaxy characters,Iron Man
Blue,Green,Red,Black,The others are primary colors,Black
Paris,New York,Rome,New York,The others are European cities,London
Basketball,Football,Hockey,Hockey,The others are played with a ball,Baseball
Potato,Wheat,Barley,Potato,The others are grains,Rice
Scissors,Marker,Pen,Scissors,The others are writing instruments,Pencil
Silver (metal),Gold,Bronze,Iron (element),The others are Olympic medal materials,Iron (element)
Lion,Dog,Wolf,Lion,The others are canines,Fox
Knife,Plate,Spoon,Plate,The others are cutlery,Fork
Newton,Socrates,Aristotle,Newton,The others are ancient Greek philosophers.,Plato
Beethoven,Bach,Mozart,Van Gogh,The others are classical composers.,Van Gogh
Purple,Red,Green,Purple,The others are primary colors.,Blue
Mercedes,Tesla Motors,Audi,Tesla Motors,The others are German car manufacturers.,BMW
Galaxy,Comet,Star,Comet,The others are vast collections of stars.,Nebula
Shark,Alligator,Whale,Alligator,The others live in the ocean,Dolphin
Circle,Triangle,Cylinder,Cylinder,The others are 2D shapes.,Square
Sphere,Triangle,Rectangle,Sphere,The others are flat shapes,Square
Magic Johnson,Kareem Abdul-Jabbar,Shaquille O'Neal,Hakeem Olajuwon,The others have won NBA championships with the Los Angeles Lakers,Hakeem Olajuwon
Manu Ginobili,Kawhi Leonard,Tony Parker,Kawhi Leonard,The others have retired their jersey numbers with the San Antonio Spurs,Tim Duncan
Dwyane Wade,LeBron James,Kyrie Irving,Kyrie Irving,The others have won an NBA championship with the Miami Heat,Chris Bosh
Larry Bird,Michael Jordan,Charles Barkley,Charles Barkley,The others have been NBA Finals MVP,Magic Johnson
Steve Kerr,Michael Jordan,Scottie Pippen,Steve Kerr,The others have been inducted into the Basketball Hall of Fame as players,Dennis Rodman
Tristan Thompson,Kevin Love,Kyrie Irving,Tristan Thompson,The others have been NBA All-Star Game MVP,LeBron James
J.J. Redick,Chris Paul,DeAndre Jordan,J.J. Redick,The others have been NBA All-Stars,Blake Griffin
Klay Thompson,Draymond Green,Stephen Curry,Klay Thompson,The others have won NBA MVP awards,Kevin Durant
Michael Jordan,Toni Kukoč,Scottie Pippen,Toni Kukoč,The others have been NBA Defensive Player of the Year,Dennis Rodman
LeBron James,Ray Allen,Chris Bosh,Ray Allen,"The others were part of the original Miami Heat ""Big Three""",Dwyane Wade
Robert Parish,Larry Bird,Kevin McHale,Bill Walton,The others have had their jersey numbers retired by the Boston Celtics,Bill Walton
Steve Kerr,Michael Jordan,Scottie Pippen,Steve Kerr,The others have been NBA All-Defensive First Team,Horace Grant
Tim Duncan,Avery Johnson,Sean Elliott,Avery Johnson,The others have had their jersey numbers retired by the San Antonio Spurs,David Robinson
Gene Kelly,Fred Astaire,Bill Robinson,James Brown,The others are tap dancers,James Brown
Ruth St. Denis,Ariana Grande,Loie Fuller,Ariana Grande,The others are pioneers of modern dance,Isadora Duncan
Sergio Ramos,Diego Costa,David Villa,Sergio Ramos,The others are forwards.,Fernando Torres
Mesut Ozil,Thomas Muller,Marco Reus,Robert Lewandowski,The others are German players.,Robert Lewandowski
Paul Pogba,N'Golo Kante,Kylian Mbappe,N'Golo Kante,The others have scored in a World Cup final.,Antoine Griezmann
Ivan Rakitic,Cristiano Ronaldo,Mario Mandzukic,Cristiano Ronaldo,The others are Croatian players.,Luka Modric
Carles Puyol,Iker Casillas,Xabi Alonso,Xavi Hernandez,The others have played for Real Madrid.,Xavi Hernandez
Jadon Sancho,Erling Haaland,Marco Reus,Robert Lewandowski,The others play for Borussia Dortmund.,Robert Lewandowski
Arnold Palmer,Gary Player,Ben Hogan,Ben Hogan,"The others are part of the ""Big Three"" in golf",Jack Nicklaus
Nikita Kucherov,Alex Ovechkin,Evgeni Malkin,Sidney Crosby,The others are Russian,Sidney Crosby
Patrick Roy,Peter Forsberg,Daniel Alfredsson,Daniel Alfredsson,The others won a Stanley Cup with the Colorado Avalanche,Joe Sakic
Wayne Gretzky,Scott Niedermayer,Chris Pronger,Wayne Gretzky,The others are defencemen,Bobby Orr
Jean Beliveau,Guy Lafleur,Bobby Hull,Bobby Hull,The others played for the Montreal Canadiens,Maurice Richard
Mats Sundin,Esa Tikkanen,Teemu Selanne,Mats Sundin,The others are Finnish,Jari Kurri
Markus Naslund,Mats Sundin,Henrik Sedin,Mats Sundin,The others played for the Vancouver Canucks,Daniel Sedin
Bobby Clarke,Mike Bossy,Bill Barber,Mike Bossy,The others played for the Philadelphia Flyers,Bernie Parent
Marcel Dionne,Mario Lemieux,Wayne Gretzky,Mario Lemieux,The others played for the Los Angeles Kings,Luc Robitaille
Roger Waters,Brian May,John Deacon,Roger Waters,The others are members of Queen,Freddie Mercury
B.B. King,Eric Clapton,Elton John,Elton John,The others are renowned blues guitarists,Jimi Hendrix
Dave Grohl,Krist Novoselic,Eddie Vedder,Eddie Vedder,The others are members of Nirvana,Kurt Cobain
Michelle Williams,Rihanna,Kelly Rowland,Rihanna,The others are members of Destiny's Child,Beyonce
Charlie Watts,Paul McCartney,Keith Richards,Paul McCartney,The others are members of The Rolling Stones,Mick Jagger
Jerry Lee Lewis,Johnny Cash,Elvis Presley,Elvis Presley,The others are members of the Million Dollar Quartet,Carl Perkins
Robert Plant,Jimmy Page,John Paul Jones,Roger Daltrey,The others are members of Led Zeppelin,Roger Daltrey
Izzy Stradlin,Axl Rose,Lars Ulrich,Lars Ulrich,The others are members of Guns N' Roses,Slash
David Bryan,Jon Bon Jovi,Steven Tyler,Steven Tyler,The others are members of Bon Jovi,Richie Sambora
Brad Whitford,Joe Elliott,Joe Perry,Joe Elliott,The others are members of Aerosmith,Steven Tyler
Mike McCready,Chris Cornell,Stone Gossard,Chris Cornell,The others are members of Pearl Jam,Eddie Vedder
Max Weinberg,Clarence Clemons,Bruce Springsteen,Billy Joel,The others are members of E Street Band,Billy Joel
Lars Ulrich,Dave Mustaine,James Hetfield,Dave Mustaine,The others are current members of Metallica,Kirk Hammett
Roger Waters,Nick Mason,David Gilmour,Pete Townshend,The others are members of Pink Floyd,Pete Townshend
Sting,Andy Summers,Stewart Copeland,Paul Weller,The others are members of The Police,Paul Weller
Jonny Greenwood,Matt Bellamy,Thom Yorke,Matt Bellamy,The others are members of Radiohead,Colin Greenwood
Mike Rutherford,Phil Collins,Tony Banks,Peter Gabriel,The others are current members of Genesis,Peter Gabriel
Andy Rourke,Morrissey,Robert Smith,Robert Smith,The others are members of The Smiths,Johnny Marr
Liam Gallagher,Noel Gallagher,Paul Arthurs,Ian Brown,The others are members of Oasis,Ian Brown
The Fighting Temeraire,"Rain, Steam and Speed",The Hay Wain,The Persistence of Memory,The others are paintings by J.M.W. Turner,The Persistence of Memory
The Tree of Life,The Kiss,The Old Guitarist,The Old Guitarist,The others are paintings by Gustav Klimt,Portrait of Adele Bloch-Bauer I
The Weeping Woman,The Dance of Life,The Madonna,The Weeping Woman,The others are paintings by Edvard Munch,The Scream
Mont Sainte-Victoire,Woman in Hat and Fur Collar,The Bathers,Woman in Hat and Fur Collar,The others are paintings by Paul Cézanne,The Card Players
Primavera,The Annunciation,Three Musicians,Three Musicians,The others are paintings by Sandro Botticelli,The Birth of Venus
The Goldfinch,The Girl with a Pearl Earring,The Milkmaid,The Dance of Youth,The others are paintings by Dutch Golden Age painters,The Dance of Youth
"Impression, Sunrise",Woman with a Parasol,The Water-Lily Pond,Les Demoiselles d'Avignon,The others are paintings by Claude Monet,Les Demoiselles d'Avignon
The Swing,The Persistence of Memory,The Progress of Love,The Persistence of Memory,The others are paintings by Jean-Honoré Fragonard,The Meeting
The Elephants,The Disintegration of the Persistence of Memory,The Starry Night,The Starry Night,The others are paintings by Salvador Dali,The Persistence of Memory
The Joy of Life,La Vie,Red Room,La Vie,The others are paintings by Henri Matisse,The Dance
The Dream of the Fisherman's Wife,The Great Wave off Kanagawa,Portrait of Gertrude Stein,Portrait of Gertrude Stein,The others are artworks by Katsushika Hokusai,Thirty-Six Views of Mount Fuji
Descartes,Socrates,Plato,Descartes,The others are ancient Greek philosophers,Aristotle
Nietzsche,Kant,Schopenhauer,Nietzsche,The others are Idealist philosophers,Hegel
Locke,Lenin,Engels,Locke,The others are Marxist philosophers,Marx
Augustine,Anselm,Spinoza,Spinoza,The others are Christian philosophers,Aquinas
Descartes,Hume,Locke,Sartre,The others are early modern philosophers,Sartre
Wittgenstein,Kierkegaard,Sartre,Wittgenstein,The others are existentialist philosophers,Nietzsche
Frege,Russell,Wittgenstein,Kant,The others are philosophers of language,Kant
Descartes,Spinoza,Leibniz,Hegel,The others are Rationalist philosophers,Hegel
Heidegger,Merleau-Ponty,Foucault,Foucault,The others are phenomenologists,Husserl
Foucault,Habermas,Derrida,Habermas,The others are Post-Structuralist philosophers,Deleuze
Marx,Nozick,Rawls,Marx,The others are political philosophers of justice,Dworkin
Locke,Hume,Berkeley,Kant,The others are British Empiricists,Kant
Confucius,Plato,Aristotle,Confucius,The others are Western philosophers,Socrates
Parmenides,Heraclitus,Zeno,Socrates,The others are Pre-Socratic philosophers,Socrates
Zhuangzi,Aristotle,Confucius,Aristotle,The others are Chinese philosophers,Laozi
Hobbes,Machiavelli,Locke,Machiavelli,The others are social contract theorists,Rousseau
Hume,Smith,Mill,Mill,The others are Scottish Enlightenment philosophers,Reid
Plato,Kant,Socrates,Kant,The others are philosophers from Classical Greece,Aristotle
Spinoza,Descartes,Leibniz,Hume,The others are Continental Rationalists,Hume
Mill,Bentham,Kant,Kant,The others are Utilitarian philosophers,Sidgwick
Socrates,Plato,Confucius,Confucius,The others are philosophers from Ancient Greece,Aristotle
Augustine,Descartes,Anselm,Descartes,The others are Scholastic philosophers,Aquinas
Hume,Kant,Hobbes,Kant,The others are Empiricist philosophers,Locke
Robert Burns,William Wordsworth,Samuel Taylor Coleridge,Robert Burns,The others are part of the Romantic movement.,William Blake
T.S. Eliot,Ezra Pound,W.B. Yeats,Langston Hughes,The others are part of the Imagist movement.,Langston Hughes
Allen Ginsberg,Charles Bukowski,Jack Kerouac,Charles Bukowski,The others are part of the Beat Generation.,William S. Burroughs
Derek Walcott,Wole Soyinka,Seamus Heaney,Ted Hughes,The others are Nobel laureates.,Ted Hughes
Robert Browning,William Blake,Percy Bysshe Shelley,William Blake,The others wrote sonnets.,Elizabeth Barrett Browning
John Keats,Samuel Taylor Coleridge,William Wordsworth,John Keats,The others are known as the Lake Poets.,Robert Southey
William Butler Yeats,Patrick Kavanagh,T. S. Eliot,T. S. Eliot,The others are Irish poets.,Seamus Heaney
John Donne,Ben Jonson,Christopher Marlowe,John Donne,The others are Elizabethan playwrights.,William Shakespeare
Pablo Neruda,Gabriel Garcia Marquez,Cesar Vallejo,Gabriel Garcia Marquez,The others are Latin American poets.,Octavio Paz
Alexander Pushkin,Leo Tolstoy,Mikhail Lermontov,Leo Tolstoy,The others are Russian Romantic poets.,Fyodor Tyutchev
